logged_at_utc,puzzle_date,player_id,player_name,difficulty,world_ranking,tour,country
2026-05-07T22:36:43.590581+00:00,2026-05-07,25569,"Stevens, Sam",easy,46,PGA,United States
2026-05-07T23:38:06.885204+00:00,2026-05-08,10419,"Noren, Alex",top40,18,PGA,Sweden
2026-05-08T07:47:02.385922+00:00,2026-05-08,10419,"Noren, Alex",top40,18,PGA,Sweden
2026-05-09T08:01:12.383083+00:00,2026-05-09,16841,"Lee, Min Woo",top40,27,PGA,Australia
2026-05-10T08:12:32.013118+00:00,2026-05-10,15466,"Cantlay, Patrick",top40,33,PGA,United States
2026-05-11T09:48:17.496501+00:00,2026-05-11,17511,"Straka, Sepp",top40,13,PGA,Austria
2026-05-12T08:45:56.977179+00:00,2026-05-12,23950,"Aberg, Ludvig",top40,15,PGA,Sweden
2026-05-13T08:49:44.023802+00:00,2026-05-13,17646,"Fitzpatrick, Matt",top40,4,PGA,England
2026-05-14T08:42:44.948526+00:00,2026-05-14,12294,"Fleetwood, Tommy",top40,6,PGA,England
2026-05-15T08:53:52.451546+00:00,2026-05-15,17511,"Straka, Sepp",top40,13,PGA,Austria
2026-05-16T08:09:44.158607+00:00,2026-05-16,23950,"Aberg, Ludvig",top40,15,PGA,Sweden
2026-05-17T08:25:42.148627+00:00,2026-05-17,14577,"English, Harris",top40,21,PGA,United States
2026-05-18T10:12:45.496633+00:00,2026-05-18,26096,"Bhatia, Akshay",top40,23,PGA,United States
2026-05-19T09:53:34.872884+00:00,2026-05-19,21891,"Kitayama, Kurt",top40,29,PGA,United States
2026-05-20T09:41:27.875530+00:00,2026-05-20,12965,"Fowler, Rickie",top40,38,PGA,United States
2026-05-21T09:50:13.993259+00:00,2026-05-21,19895,"Schauffele, Xander",top40,8,PGA,United States
2026-05-22T09:34:55.954355+00:00,2026-05-22,17536,"Spaun, J.J.",top40,9,PGA,United States
2026-05-23T08:24:26.373234+00:00,2026-05-23,13900,"Lowry, Shane",top40,40,PGA,Ireland
2026-05-24T08:34:13.875413+00:00,2026-05-24,18634,"McNealy, Maverick",top40,34,PGA,United States
2026-05-25T10:17:11.701380+00:00,2026-05-25,13872,"Bradley, Keegan",top40,36,PGA,United States
2026-05-26T10:03:16.679474+00:00,2026-05-26,18554,"Rai, Aaron",top40,14,PGA,England
2026-05-27T10:00:50.430143+00:00,2026-05-27,14577,"English, Harris",top40,22,PGA,United States
